Date,AC,PUMA,MFC,XIT,XRE,XMA,XMV,XDV,XMD,XSP,XIN,XCB,XSB,XLB
2013-04-03,-0.009132484,-0.068992871,-0.032391317,-0.008333413,-0.006412838,-0.03403725,-0.004538966,-0.011722919,-0.018119204,-0.008948576,-0.007246555,0.002319007,-0.000346052,0.005595277
2013-04-04,-0.00306279,-0.074107972,-0.018692183,0.001393734,0.004667827,0.014824838,-0.014204072,-0.009569277,0.002808862,0.003924835,0.011363594,0.001388447,0.00069185,0.005135792
2013-04-05,-0.040694191,0.074107972,-0.014783556,-0.002789413,0.001162919,0.003338991,-0.003698403,-0.003210289,-0.00234016,-0.004486748,-0.006182372,0.003232516,0.000690568,0.007656772
2013-04-08,0.015848192,-0.074107972,0.001417093,-0.00560215,0.00983576,-0.003338991,0,0.002752399,0.003274775,0.006722595,0.008747434,-0.001846256,-0.000690568,-0.002545417
2013-04-09,0.012500163,0,0.009866533,0.004204393,0.001725283,0.024448267,0.010138157,0.005026437,0.011609486,0.003344426,0.000512117,0,0,-0.001274987
2013-04-10,-0.012500163,0,0.026981786,0.00974276,-0.00287766,-0.030486481,0.003661459,0.009977142,-0.000462352,0.012168206,0.015748239,-0.002311392,0,-0.005973114
2013-04-11,0.0217738,0,-0.015824062,-0.02240973,-0.00115333,-0.008107965,-0.005038177,-0.004522806,-0.001848602,0.003293282,0.006030338,0.000925133,-0.000345798,0.00042814
2013-04-12,0,0,-0.006261374,-0.011396436,0,-0.042973085,-0.008761439,-0.00454314,-0.010233146,-0.002743469,-0.005022807,0.001848553,0.001727573,0.004694057
2013-04-15,-0.01863408,-0.080042708,-0.03190601,0.005714323,-0.006947961,-0.080337228,-0.013523677,-0.018846457,-0.033272914,-0.022223127,-0.017267886,0.002305651,0.000344666,0.003399203
2013-04-16,0.021706279,0.080042708,0.019972178,0.007097289,0.004637585,-0.000768183,-0.002349988,0.011533679,0.010577177,0.013393268,0.007654948,-0.001383145,0,-0.002974496
2013-04-17,-0.043894194,-0.080042708,-0.020692892,-0.007097289,-0.006965039,-0.037562839,-0.004244225,-0.01292714,-0.018827563,-0.014517411,-0.011247733,-0.000460819,-0.000344666,0.004246612
2013-04-18,-0.035892923,0.080042708,0.008614589,-0.012903193,0.005228298,0.023641607,0.005654651,0.002784111,0.009216123,-0.006206191,-0.003089317,0.000460819,0.000690239,0
